#     sgdBm         Hc         Hx         Vc         Vx
      0.000      1.272      1.240      1.696      1.672
    -10.000     -8.654     -8.692     -8.198     -8.229
    -20.000    -18.790    -18.831    -18.098    -18.131
    -30.000    -28.751    -28.788    -28.042    -28.073
    -40.000    -38.677    -38.713    -37.955    -37.987
    -50.000    -48.640    -48.680    -47.900    -47.946
    -60.000    -58.620    -58.841    -57.675    -57.859
    -70.000    -67.968    -68.557    -67.109    -67.702
    -80.000    -74.904    -75.573    -74.658    -75.347
    -90.000    -76.941    -77.643    -77.175    -77.866
   -100.000    -77.173    -77.852    -77.437    -78.133
   -110.000    -77.192    -77.880    -77.417    -78.130
   -120.000    -77.156    -77.821    -77.422    -78.108
