Station name                                 	CSU_atmos
Sonde type                                   	RS92-SGP
Sonde serial number                          	J3713986
Release point latitude                       	40.58?N
Release point longitude                      	105.09?W
Release point height from sea level          	1529 m
Balloon release date and time                	2015-09-02T22:05:14
Reason for termination                       	ManualStop
System trademark and model                   	MW41
Terminating altitude                         	13834 m
Surface pressure                             	845.2 hPa
Surface temperature                          	31.9 ?C
Surface relative humidity                    	15 %
Surface wind speed                           	3.1 m/s
Surface wind direction                       	147?
Surface pressure                             	845.1 hPa
Average ascent rate                          	4.1 m/s
Sounding length                              	00:50:03 hh:mm:ss
P correction (Pref - P)                      	1.65 hPa
T correction (Tref - T)                      	-0.26 ?C 
U1 correction (Uref - U1)                    	-1.0 %Rh
U2 correction (Uref - U2)                    	-0.9 %Rh
T temperature                                	26.22 ?C
P pressure                                   	843.66 hPa
Pref pressure                                	845.31 hPa
Tref temperature                             	26.0 ?C
Uref humidity                                	Desiccant 0 %Rh
Software version                             	MW41 2.1.0
Height and pressure in messages is based on  	P Sensor

Elapsed time HeightMSL    Pm  Temp  Dewp    RH Speed   Dir AscRate    Lat      Lon GpsHeightMSL
           s         m   hPa    ?C    ?C     %   m/s     ?     m/s      ?        ?            m
           0    1528.9 845.2  31.9   2.3  15.2   3.1 147.0     0.0 40.576 -105.086       1528.9
           1    1535.3 844.5  29.8   2.8  17.7   1.5 158.6     6.5 40.576 -105.086       1525.7
           2    1541.5 844.0  29.9   3.9  19.0   0.9 179.3     6.2 40.576 -105.086       1527.4
           3    1547.5 843.4  29.9   3.9  19.0   0.7 194.5     5.9 40.576 -105.086       1532.1
           4    1553.3 842.8  30.0   3.4  18.4   0.8 193.1     5.8 40.576 -105.086       1538.5
           5    1559.3 842.3  30.0   3.0  17.8   0.9 186.6     6.0 40.576 -105.086       1545.6
           6    1565.5 841.7  29.9   2.9  17.7   1.0 181.5     6.2 40.576 -105.086       1552.6
           7    1571.6 841.1  29.9   2.9  17.7   1.1 178.0     6.1 40.576 -105.086       1559.3
           8    1577.1 840.6  29.9   2.7  17.5   1.2 175.8     5.5 40.576 -105.086       1564.8
           9    1581.9 840.1  29.9   2.3  17.1   1.3 173.9     4.8 40.576 -105.086       1568.7
          10    1586.6 839.7  29.9   2.0  16.7   1.4 172.2     4.7 40.576 -105.086       1571.8
          11    1592.1 839.2  29.9   1.9  16.5   1.5 170.9     5.5 40.576 -105.086       1576.0
          12    1598.9 838.5  29.9   1.8  16.5   1.6 169.9     6.8 40.576 -105.086       1582.4
          13    1606.6 837.8  29.8   1.9  16.6   1.7 169.2     7.7 40.576 -105.086       1590.7
          14    1613.8 837.1  29.8   1.9  16.6   1.8 168.8     7.2 40.576 -105.086       1600.1
          15    1619.9 836.6  29.8   1.8  16.6   1.9 168.6     6.1 40.576 -105.086       1608.9
          16    1625.1 836.1  29.7   1.8  16.6   2.0 168.5     5.1 40.576 -105.086       1616.0
          17    1630.0 835.6  29.7   1.7  16.5   2.1 168.6     4.9 40.576 -105.086       1621.4
          18    1635.2 835.1  29.6   1.6  16.5   2.2 168.9     5.3 40.576 -105.086       1626.3
          19    1640.9 834.6  29.5   1.5  16.4   2.3 169.4     5.7 40.576 -105.086       1631.9
          20    1646.4 834.1  29.5   1.5  16.5   2.4 169.9     5.5 40.577 -105.086       1638.3
          21    1651.1 833.6  29.4   1.5  16.5   2.5 170.7     4.7 40.576 -105.086       1644.7
          22    1655.1 833.2  29.4   1.5  16.6   2.7 171.5     4.1 40.576 -105.086       1650.5
          23    1659.0 832.9  29.3   1.6  16.7   2.8 172.3     3.8 40.576 -105.086       1655.2
          24    1662.7 832.5  29.3   1.5  16.7   2.9 173.2     3.8 40.576 -105.086       1658.5
          25    1666.7 832.2  29.2   1.5  16.7   2.9 174.0     4.0 40.576 -105.086       1660.7
          26    1671.0 831.8  29.2   1.4  16.7   3.0 174.8     4.3 40.576 -105.086       1662.6
          27    1675.3 831.4  29.1   1.4  16.7   3.1 175.6     4.3 40.577 -105.086       1665.2
          28    1679.6 831.0  29.1   1.4  16.8   3.2 176.4     4.3 40.577 -105.086       1668.9
          29    1684.0 830.5  29.0   1.4  16.9   3.3 177.1     4.4 40.577 -105.086       1673.4
          30    1688.4 830.1  29.0   1.4  16.9   3.4 177.7     4.4 40.577 -105.086       1678.3
          31    1692.7 829.7  28.9   1.4  16.9   3.4 178.3     4.2 40.577 -105.086       1683.3
          32    1696.7 829.4  28.9   1.4  17.0   3.5 178.7     4.0 40.577 -105.086       1688.1
          33    1700.5 829.0  28.8   1.4  17.0   3.5 179.0     3.8 40.577 -105.086       1692.4
          34    1704.2 828.6  28.8   1.5  17.1   3.6 179.3     3.7 40.577 -105.086       1696.3
          35    1708.0 828.3  28.8   1.5  17.1   3.6 179.4     3.8 40.577 -105.086       1699.5
          36    1712.2 827.9  28.8   1.5  17.2   3.7 179.3     4.2 40.577 -105.086       1702.4
          37    1717.0 827.5  28.7   1.5  17.2   3.7 179.2     4.9 40.577 -105.086       1705.9
          38    1722.5 826.9  28.7   1.5  17.2   3.7 179.0     5.5 40.577 -105.086       1710.6
          39    1728.2 826.4  28.6   1.4  17.2   3.7 178.6     5.6 40.577 -105.086       1716.0
          40    1733.3 825.9  28.6   1.4  17.2   3.7 178.1     5.1 40.577 -105.086       1721.5
          41    1737.7 825.5  28.5   1.3  17.2   3.8 177.6     4.5 40.577 -105.086       1726.9
          42    1742.1 825.1  28.4   1.3  17.3   3.8 176.9     4.3 40.577 -105.086       1732.2
          43    1746.7 824.7  28.4   1.3  17.3   3.8 176.2     4.6 40.577 -105.086       1737.2
          44    1751.8 824.2  28.4   1.4  17.5   3.8 175.4     5.1 40.577 -105.086       1741.9
          45    1757.2 823.7  28.4   1.5  17.6   3.8 174.6     5.3 40.577 -105.086       1746.6
          46    1762.4 823.2  28.4   1.6  17.7   3.7 173.7     5.2 40.577 -105.086       1751.6
          47    1767.7 822.7  28.4   1.6  17.7   3.7 172.8     5.3 40.577 -105.086       1756.9
          48    1773.4 822.2  28.3   1.6  17.7   3.7 172.0     5.7 40.577 -105.086       1762.8
          49    1779.2 821.7  28.2   1.5  17.7   3.7 171.2     5.8 40.577 -105.086       1769.1
          50    1784.5 821.2  28.1   1.4  17.7   3.7 170.4     5.4 40.577 -105.086       1775.6
          51    1789.6 820.7  28.0   1.4  17.8   3.7 169.7     5.0 40.577 -105.086       1781.7
          52    1795.0 820.2  27.9   1.4  17.8   3.7 169.1     5.5 40.577 -105.086       1787.0
          53    1801.3 819.6  27.9   1.4  17.9   3.7 168.7     6.2 40.578 -105.086       1791.9
          54    1807.8 819.0  27.8   1.4  18.0   3.7 168.3     6.5 40.578 -105.086       1797.3
          55    1813.9 818.4  27.8   1.4  18.0   3.7 168.0     6.1 40.578 -105.086       1803.3
          56    1819.5 817.9  27.7   1.4  18.1   3.7 167.8     5.5 40.578 -105.086       1809.6
          57    1824.8 817.4  27.7   1.4  18.2   3.7 167.8     5.4 40.578 -105.086       1815.9
          58    1830.6 816.9  27.6   1.4  18.2   3.7 167.8     5.8 40.578 -105.086       1822.0
          59    1836.8 816.3  27.5   1.4  18.3   3.7 167.8     6.1 40.578 -105.086       1828.0
          60    1842.6 815.8  27.5   1.4  18.4   3.7 168.0     5.8 40.578 -105.086       1833.6
          61    1847.9 815.3  27.4   1.4  18.4   3.7 168.2     5.3 40.578 -105.086       1838.5
          62    1852.9 814.8  27.4   1.4  18.5   3.7 168.5     5.0 40.578 -105.086       1843.2
          63    1857.8 814.4  27.3   1.4  18.6   3.7 168.7     4.9 40.578 -105.086       1848.3
          64    1862.6 813.9  27.3   1.4  18.6   3.7 169.0     4.8 40.578 -105.086       1853.6
          65    1867.4 813.5  27.2   1.4  18.7   3.7 169.2     4.8 40.578 -105.086       1858.8
          66    1871.8 813.1  27.2   1.4  18.7   3.7 169.5     4.4 40.578 -105.086       1863.4
          67    1876.0 812.7  27.1   1.4  18.8   3.7 169.8     4.3 40.578 -105.086       1867.5
          68    1880.6 812.3  27.1   1.4  18.8   3.7 170.2     4.5 40.578 -105.086       1871.6
          69    1885.4 811.8  27.0   1.4  18.9   3.7 170.5     4.8 40.578 -105.086       1876.0
          70    1890.2 811.4  27.0   1.4  18.9   3.6 170.8     4.8 40.578 -105.086       1880.9
          71    1895.0 811.0  26.9   1.4  19.0   3.6 171.2     4.8 40.578 -105.086       1886.2
          72    1899.8 810.5  26.9   1.4  19.1   3.6 171.4     4.8 40.578 -105.086       1891.7
          73    1904.9 810.0  26.8   1.5  19.1   3.6 171.7     5.1 40.578 -105.086       1897.4
          74    1910.6 809.5  26.8   1.5  19.2   3.6 171.9     5.7 40.578 -105.086       1902.9
          75    1916.5 809.0  26.7   1.4  19.2   3.5 172.1     5.9 40.578 -105.086       1907.7
          76    1922.3 808.5  26.7   1.4  19.3   3.5 172.2     5.8 40.578 -105.086       1912.3
          77    1927.8 807.9  26.6   1.4  19.3   3.5 172.3     5.6 40.578 -105.086       1917.5
          78    1933.3 807.4  26.6   1.4  19.4   3.5 172.4     5.5 40.578 -105.086       1923.4
          79    1938.7 806.9  26.5   1.4  19.5   3.5 172.5     5.5 40.578 -105.086       1929.5
          80    1944.0 806.5  26.5   1.4  19.5   3.5 172.6     5.2 40.578 -105.086       1934.7
          81    1949.1 806.0  26.5   1.4  19.5   3.5 172.9     5.1 40.578 -105.086       1939.0
          82    1954.4 805.5  26.4   1.4  19.6   3.4 173.2     5.4 40.578 -105.086       1943.3
          83    1960.1 805.0  26.3   1.4  19.7   3.4 173.6     5.6 40.578 -105.086       1948.1
          84    1965.8 804.5  26.3   1.4  19.7   3.4 174.1     5.7 40.578 -105.086       1953.4
          85    1971.5 803.9  26.2   1.4  19.8   3.4 174.7     5.7 40.578 -105.086       1959.0
          86    1977.2 803.4  26.2   1.4  19.9   3.4 175.3     5.7 40.579 -105.086       1964.7
          87    1982.9 802.9  26.1   1.4  19.9   3.3 175.9     5.7 40.579 -105.086       1970.4
          88    1988.8 802.4  26.1   1.4  20.0   3.3 176.5     5.9 40.579 -105.086       1976.2
          89    1994.8 801.8  26.0   1.4  20.0   3.3 177.1     6.0 40.579 -105.086       1982.0
          90    2000.8 801.3  26.0   1.4  20.1   3.3 177.8     6.0 40.579 -105.086       1987.8
          91    2006.7 800.7  25.9   1.4  20.2   3.3 178.7     5.9 40.579 -105.086       1993.4
          92    2012.1 800.2  25.9   1.4  20.2   3.2 179.8     5.4 40.579 -105.086       1998.9
          93    2017.1 799.8  25.8   1.4  20.3   3.2 181.1     5.1 40.579 -105.086       2004.3
