Station name                                 	CSU_atmos
Sonde type                                   	RS92-SGP
Sonde serial number                          	J3713986
Release point latitude                       	40.58?N
Release point longitude                      	105.09?W
Release point height from sea level          	1529 m
Balloon release date and time                	2015-09-02T22:05:14
Reason for termination                       	ManualStop
System trademark and model                   	MW41
Terminating altitude                         	13834 m
Surface pressure                             	845.2 hPa
Surface temperature                          	31.9 ?C
Surface relative humidity                    	15 %
Surface wind speed                           	3.1 m/s
Surface wind direction                       	147?
Surface pressure                             	845.1 hPa
Average ascent rate                          	4.1 m/s
Sounding length                              	00:50:03 hh:mm:ss
P correction (Pref - P)                      	1.65 hPa
T correction (Tref - T)                      	-0.26 ?C 
U1 correction (Uref - U1)                    	-1.0 %Rh
U2 correction (Uref - U2)                    	-0.9 %Rh
T temperature                                	26.22 ?C
P pressure                                   	843.66 hPa
Pref pressure                                	845.31 hPa
Tref temperature                             	26.0 ?C
Uref humidity                                	Desiccant 0 %Rh
Software version                             	MW41 2.1.0
Height and pressure in messages is based on  	P Sensor

Elapsed time HeightMSL    Pm  Temp  Dewp    RH Speed   Dir AscRate    Lat      Lon GpsHeightMSL
          94    2022.5 799.3  25.8   1.4  20.3   3.2 182.5     5.4 40.579 -105.086       2009.7
          95    2028.7 798.7  25.7   1.4  20.4   3.2 183.9     6.1 40.579 -105.086       2015.7
          96    2035.1 798.1  25.6   1.4  20.4   3.1 185.5     6.4 40.579 -105.086       2022.1
          97    2040.9 797.6  25.6   1.4  20.5   3.1 187.0     5.9 40.579 -105.086       2028.4
          98    2046.1 797.1  25.5   1.4  20.6   3.1 188.7     5.2 40.579 -105.086       2034.2
          99    2050.9 796.7  25.5   1.4  20.6   3.1 190.4     4.8 40.579 -105.086       2039.1
         100    2055.8 796.3  25.4   1.4  20.7   3.0 192.2     4.9 40.579 -105.086       2043.5
         101    2061.0 795.8  25.4   1.4  20.8   3.0 193.9     5.2 40.579 -105.086       2048.0
         102    2066.6 795.3  25.3   1.4  20.8   3.0 195.7     5.6 40.579 -105.086       2053.4
         103    2072.6 794.7  25.3   1.3  20.8   2.9 197.5     6.0 40.579 -105.086       2059.7
         104    2079.0 794.2  25.2   1.3  20.8   2.9 199.2     6.4 40.579 -105.086       2066.9
         105    2085.8 793.5  25.1   1.2  20.8   2.9 200.9     6.8 40.579 -105.086       2074.2
         106    2092.6 792.9  25.0   1.2  20.9   2.8 202.6     6.8 40.579 -105.086       2081.1
         107    2099.3 792.3  25.0   1.2  21.0   2.8 204.2     6.7 40.579 -105.086       2087.1
         108    2105.9 791.7  24.9   1.2  21.1   2.8 205.8     6.6 40.579 -105.086       2093.1
         109    2112.2 791.2  24.9   1.2  21.2   2.7 207.3     6.2 40.579 -105.086       2099.2
         110    2118.1 790.6  24.8   1.2  21.2   2.7 208.7     5.9 40.579 -105.086       2105.4
         111    2124.3 790.1  24.7   1.2  21.2   2.6 210.0     6.2 40.579 -105.086       2112.1
         112    2131.3 789.4  24.7   1.1  21.3   2.6 211.3     7.0 40.579 -105.086       2119.3
         113    2138.9 788.7  24.6   1.1  21.4   2.5 212.6     7.6 40.579 -105.086       2126.8
         114    2146.5 788.0  24.5   1.1  21.5   2.5 213.7     7.6 40.579 -105.086       2134.3
         115    2153.6 787.4  24.5   1.2  21.6   2.5 214.8     7.1 40.579 -105.086       2141.3
         116    2160.0 786.8  24.4   1.2  21.7   2.4 215.8     6.3 40.579 -105.086       2147.3
         117    2165.7 786.3  24.3   1.2  21.8   2.3 216.6     5.7 40.579 -105.086       2152.1
         118    2171.2 785.8  24.3   1.2  21.9   2.3 217.3     5.5 40.579 -105.086       2156.1
         119    2176.6 785.3  24.2   1.1  21.8   2.2 218.0     5.5 40.579 -105.086       2160.4
         120    2182.0 784.9  24.1   1.0  21.8   2.2 218.6     5.4 40.579 -105.086       2165.5
         121    2187.1 784.4  24.1   1.0  21.8   2.2 219.1     5.1 40.579 -105.086       2171.1
         122    2192.1 783.9  24.0   1.0  21.8   2.1 219.5     5.0 40.579 -105.086       2177.0
         123    2197.4 783.5  24.0   1.0  22.0   2.1 219.7     5.3 40.579 -105.086       2183.0
         124    2203.2 782.9  24.0   1.1  22.2   2.0 219.7     5.8 40.579 -105.086       2189.2
         125    2208.8 782.4  23.9   1.2  22.3   2.0 219.5     5.6 40.579 -105.086       2195.1
         126    2213.5 782.0  23.9   1.2  22.4   2.0 219.2     4.7 40.579 -105.086       2200.7
         127    2217.7 781.6  23.8   1.2  22.5   2.0 218.7     4.2 40.579 -105.086       2206.2
         128    2222.1 781.3  23.8   1.2  22.5   1.9 218.0     4.3 40.579 -105.086       2211.4
         129    2226.9 780.8  23.8   1.2  22.5   1.9 217.1     4.8 40.579 -105.086       2216.2
         130    2232.2 780.3  23.7   1.2  22.6   1.9 216.0     5.4 40.579 -105.086       2221.2
         131    2238.0 779.8  23.7   1.2  22.6   1.9 214.6     5.7 40.579 -105.086       2226.8
         132    2243.6 779.3  23.6   1.1  22.7   2.0 213.1     5.6 40.579 -105.086       2232.5
         133    2248.8 778.9  23.5   1.1  22.8   2.0 211.4     5.2 40.579 -105.086       2237.7
         134    2253.7 778.4  23.5   1.1  22.8   2.0 209.6     4.9 40.579 -105.086       2242.2
         135    2258.7 778.0  23.4   1.2  22.9   2.0 207.8     5.0 40.579 -105.086       2246.7
         136    2264.0 777.5  23.4   1.2  23.0   2.1 205.9     5.3 40.579 -105.086       2251.9
         137    2269.4 777.0  23.4   1.2  23.1   2.1 203.9     5.4 40.579 -105.085       2257.5
         138    2274.6 776.6  23.3   1.2  23.2   2.2 202.0     5.2 40.579 -105.085       2263.3
         139    2279.5 776.1  23.3   1.1  23.2   2.2 200.1     4.9 40.579 -105.085       2268.7
         140    2284.7 775.7  23.2   1.1  23.2   2.3 198.1     5.1 40.579 -105.085       2273.7
         141    2290.1 775.2  23.2   1.1  23.2   2.3 196.3     5.4 40.580 -105.086       2278.4
         142    2295.2 774.7  23.1   1.1  23.3   2.4 194.5     5.1 40.580 -105.086       2283.1
         143    2299.6 774.3  23.1   1.1  23.3   2.5 192.8     4.4 40.580 -105.085       2288.0
         144    2303.6 774.0  23.1   1.1  23.4   2.5 191.2     4.0 40.580 -105.085       2292.9
         145    2307.9 773.6  23.0   1.1  23.5   2.6 189.7     4.3 40.580 -105.085       2297.5
         146    2312.6 773.2  23.0   1.1  23.5   2.7 188.2     4.7 40.580 -105.085       2302.0
         147    2317.4 772.8  22.9   1.1  23.5   2.7 186.9     4.8 40.580 -105.085       2306.6
         148    2322.2 772.3  22.9   1.1  23.6   2.8 185.7     4.9 40.580 -105.085       2311.5
         149    2327.5 771.9  22.8   1.1  23.7   2.8 184.6     5.3 40.580 -105.086       2316.9
         150    2333.5 771.3  22.8   1.1  23.7   2.8 183.6     6.0 40.580 -105.086       2322.9
         151    2339.9 770.8  22.7   1.1  23.8   2.9 182.7     6.4 40.580 -105.085       2329.5
         152    2346.0 770.2  22.6   1.1  23.9   2.9 181.9     6.1 40.580 -105.085       2335.7
         153    2351.5 769.7  22.6   1.1  24.0   2.9 181.2     5.5 40.580 -105.085       2340.8
         154    2356.8 769.3  22.5   1.1  24.2   2.9 180.5     5.3 40.580 -105.085       2345.6
         155    2362.3 768.8  22.5   1.1  24.3   2.9 179.9     5.4 40.580 -105.085       2350.8
         156    2367.8 768.3  22.4   1.1  24.4   2.9 179.3     5.5 40.580 -105.085       2356.1
         157    2372.9 767.8  22.4   1.2  24.5   2.9 178.9     5.2 40.580 -105.085       2361.0
         158    2377.4 767.4  22.3   1.2  24.6   2.8 178.5     4.5 40.580 -105.085       2364.9
         159    2381.2 767.1  22.3   1.2  24.7   2.8 178.2     3.8 40.580 -105.086       2367.9
         160    2384.2 766.8  22.2   1.2  24.8   2.7 177.9     3.0 40.580 -105.086       2370.7
         161    2386.7 766.6  22.2   1.2  24.8   2.7 177.7     2.5 40.580 -105.086       2373.4
         162    2389.3 766.4  22.2   1.2  24.9   2.6 177.5     2.5 40.580 -105.086       2375.7
         163    2392.0 766.1  22.2   1.2  24.9   2.6 177.2     2.8 40.580 -105.086       2378.4
         164    2395.4 765.8  22.1   1.2  24.9   2.5 176.9     3.4 40.580 -105.086       2382.4
         165    2399.2 765.5  22.1   1.1  24.7   2.4 176.6     3.8 40.580 -105.086       2387.7
         166    2403.3 765.1  22.1   0.9  24.5   2.3 176.3     4.1 40.580 -105.086       2393.0
         167    2407.6 764.8  22.0   0.9  24.4   2.3 176.0     4.3 40.580 -105.086       2397.7
         168    2412.2 764.4  22.0   0.8  24.4   2.2 175.6     4.6 40.580 -105.086       2401.8
         169    2417.1 763.9  22.0   0.8  24.5   2.1 175.2     4.9 40.580 -105.086       2406.0
         170    2422.0 763.5  21.9   0.8  24.5   2.0 174.7     5.0 40.580 -105.085       2410.1
         171    2426.6 763.1  21.9   0.8  24.6   2.0 174.1     4.6 40.580 -105.085       2414.2
         172    2430.6 762.7  21.8   0.8  24.7   1.9 173.4     3.9 40.580 -105.085       2418.4
         173    2434.0 762.4  21.8   0.8  24.7   1.8 172.6     3.4 40.580 -105.085       2422.3
         174    2437.5 762.1  21.7   0.8  24.7   1.8 171.6     3.5 40.580 -105.085       2426.2
         175    2441.6 761.8  21.7   0.8  24.8   1.7 170.6     4.1 40.580 -105.086       2430.4
         176    2446.1 761.4  21.7   0.8  24.8   1.7 169.5     4.5 40.580 -105.085       2434.9
         177    2450.5 761.0  21.6   0.7  24.9   1.6 168.2     4.4 40.580 -105.085       2439.1
         178    2454.4 760.6  21.6   0.7  24.8   1.6 166.9     3.9 40.580 -105.085       2442.7
         179    2458.0 760.3  21.6   0.6  24.8   1.5 165.7     3.6 40.580 -105.085       2445.7
         180    2462.0 760.0  21.5   0.6  24.7   1.5 164.4     4.0 40.580 -105.085       2449.1
         181    2466.8 759.6  21.5   0.5  24.6   1.5 163.2     4.8 40.580 -105.086       2453.4
         182    2471.8 759.1  21.5   0.4  24.5   1.5 162.1     5.0 40.580 -105.086       2458.7
         183    2476.2 758.7  21.4   0.3  24.4   1.5 161.1     4.4 40.580 -105.086       2464.3
         184    2480.0 758.4  21.4   0.3  24.5   1.4 160.1     3.8 40.580 -105.086       2469.5
         185    2483.4 758.1  21.3   0.3  24.6   1.4 159.4     3.5 40.580 -105.086       2473.8
         186    2486.6 757.8  21.3   0.3  24.6   1.4 158.8     3.2 40.581 -105.086       2477.1
         187    2489.5 757.6  21.3   0.3  24.7   1.4 158.5     2.9 40.581 -105.086       2479.8
         188    2492.5 757.3  21.3   0.3  24.7   1.4 158.5     3.0 40.581 -105.086       2482.4
         189    2495.9 757.0  21.2   0.3  24.7   1.4 158.7     3.4 40.581 -105.086       2485.7
         190    2499.8 756.7  21.2   0.3  24.7   1.4 159.2     3.9 40.581 -105.086       2489.7
         191    2504.3 756.3  21.2   0.2  24.7   1.4 160.0     4.4 40.581 -105.086       2494.3
         192    2509.1 755.8  21.1   0.2  24.6   1.3 160.8     4.9 40.581 -105.086       2499.0
         193    2514.3 755.4  21.1   0.2  24.7   1.3 161.9     5.1 40.581 -105.086       2503.7
         194    2519.5 754.9  21.0   0.1  24.7   1.3 163.1     5.2 40.581 -105.086       2508.5
         195    2524.7 754.5  21.0   0.1  24.8   1.3 164.5     5.2 40.581 -105.086       2513.3
         196    2529.9 754.0  20.9   0.2  24.9   1.3 166.2     5.2 40.581 -105.086       2518.1
         197    2535.0 753.6  20.9   0.2  25.0   1.3 168.2     5.1 40.581 -105.086       2522.9
         198    2539.8 753.2  20.8   0.2  25.1   1.2 170.4     4.8 40.581 -105.086       2527.6
         199    2544.3 752.8  20.8   0.2  25.2   1.2 172.8     4.4 40.581 -105.086       2531.9
         200    2548.6 752.4  20.7   0.2  25.4   1.2 175.2     4.3 40.581 -105.086       2536.1
         201    2552.8 752.0  20.7   0.3  25.5   1.2 177.5     4.2 40.581 -105.086       2540.1
         202    2557.0 751.7  20.6   0.2  25.5   1.2 179.9     4.2 40.581 -105.086       2543.8
         203    2561.2 751.3  20.6   0.2  25.5   1.2 182.1     4.2 40.581 -105.086       2547.8
         204    2565.7 750.9  20.5   0.2  25.6   1.1 184.3     4.5 40.581 -105.086       2552.3
         205    2570.2 750.5  20.5   0.3  25.8   1.1 186.6     4.5 40.581 -105.086       2556.8
         206    2574.2 750.2  20.4   0.3  25.9   1.1 188.7     4.0 40.581 -105.086       2560.9
         207    2577.4 749.9  20.4   0.3  26.0   1.1 190.7     3.2 40.581 -105.086       2564.2
         208    2580.2 749.6  20.4   0.3  26.1   1.1 192.5     2.8 40.581 -105.086       2566.9
         209    2583.1 749.4  20.4   0.3  26.2   1.1 193.9     2.8 40.581 -105.086       2570.1
         210    2586.1 749.1  20.3   0.3  26.2   1.1 195.1     3.0 40.581 -105.086       2573.9
         211    2589.4 748.9  20.3   0.3  26.2   1.1 196.0     3.3 40.581 -105.086       2577.6
         212    2592.8 748.6  20.3   0.3  26.2   1.1 196.8     3.4 40.581 -105.086       2581.0
         213    2596.1 748.3  20.3   0.2  26.1   1.1 197.3     3.4 40.581 -105.086       2585.1
         214    2599.5 748.0  20.3   0.1  25.9   1.1 197.7     3.4 40.581 -105.086       2589.8
         215    2603.1 747.7  20.2   0.0  25.6   1.1 197.8     3.6 40.581 -105.086       2594.4
         216    2606.9 747.3  20.2  -0.2  25.4   1.0 197.6     3.8 40.581 -105.086       2598.5
         217    2610.6 747.0  20.2  -0.2  25.3   1.0 197.2     3.7 40.581 -105.086       2601.8
         218    2614.2 746.7  20.2  -0.2  25.3   1.0 196.7     3.6 40.581 -105.086       2604.3
         219    2617.6 746.4  20.2  -0.3  25.3   1.0 196.0     3.5 40.581 -105.086       2606.7
         220    2620.9 746.1  20.1  -0.3  25.4   1.0 195.4     3.3 40.581 -105.086       2609.5
         221    2623.9 745.9  20.1  -0.3  25.4   1.0 194.6     3.0 40.581 -105.086       2612.6
         222    2626.6 745.6  20.1  -0.3  25.4   1.0 193.8     2.7 40.581 -105.086       2615.7
         223    2629.3 745.4  20.1  -0.3  25.5   1.0 192.9     2.7 40.581 -105.086       2618.6
         224    2632.2 745.1  20.0  -0.3  25.5   1.0 191.9     2.9 40.581 -105.086       2621.2
         225    2635.3 744.9  20.0  -0.3  25.5   1.0 191.0     3.1 40.581 -105.086       2623.8
         226    2638.7 744.6  19.9  -0.3  25.6   1.0 190.2     3.4 40.581 -105.086       2626.8
         227    2642.2 744.3  19.9  -0.3  25.6   1.0 189.5     3.5 40.581 -105.086       2630.0
         228    2645.6 744.0  19.9  -0.3  25.6   1.0 188.9     3.4 40.581 -105.086       2633.4
         229    2649.3 743.7  19.8  -0.4  25.7   1.0 188.4     3.7 40.581 -105.086       2637.4
         230    2653.7 743.3  19.8  -0.4  25.7   1.1 187.9     4.4 40.581 -105.086       2642.3
         231    2658.5 742.9  19.7  -0.3  25.8   1.1 187.3     4.8 40.581 -105.086       2647.6
         232    2663.2 742.5  19.7  -0.3  26.0   1.1 186.8     4.7 40.581 -105.086       2652.4
         233    2667.8 742.1  19.7  -0.3  26.1   1.1 186.3     4.6 40.581 -105.086       2656.7
         234    2672.5 741.7  19.6  -0.2  26.3   1.1 185.9     4.7 40.581 -105.086       2660.7
         235    2677.1 741.3  19.5  -0.2  26.4   1.2 185.8     4.6 40.581 -105.086       2664.8
         236    2681.5 740.9  19.5  -0.2  26.6   1.2 185.7     4.4 40.581 -105.086       2669.2
         237    2685.8 740.5  19.4  -0.2  26.7   1.2 185.6     4.3 40.581 -105.086       2673.8
         238    2690.2 740.1  19.4  -0.1  26.8   1.2 185.5     4.4 40.581 -105.086       2678.2
         239    2694.4 739.8  19.3  -0.1  27.0   1.3 185.3     4.3 40.581 -105.086       2682.5
         240    2698.3 739.4  19.3   0.0  27.3   1.3 185.0     3.9 40.581 -105.086       2686.6
         241    2702.1 739.1  19.2   0.0  27.4   1.3 184.6     3.7 40.581 -105.086       2690.5
         242    2705.9 738.8  19.2   0.0  27.5   1.4 184.2     3.8 40.581 -105.086       2694.1
         243    2710.0 738.4  19.2   0.0  27.5   1.4 184.0     4.1 40.581 -105.086       2697.7
         244    2714.4 738.0  19.1   0.0  27.6   1.4 183.7     4.4 40.581 -105.086       2701.9
         245    2718.7 737.7  19.1   0.1  27.7   1.5 183.5     4.3 40.581 -105.086       2706.9
         246    2722.9 737.3  19.0   0.1  27.8   1.5 183.2     4.2 40.581 -105.086       2712.0
         247    2727.1 736.9  19.0   0.1  27.9   1.5 182.9     4.2 40.581 -105.086       2716.7
         248    2731.6 736.6  19.0   0.1  27.9   1.5 182.5     4.5 40.581 -105.086       2721.3
         249    2736.3 736.2  18.9   0.0  27.9   1.6 182.2     4.7 40.581 -105.086       2726.0
         250    2741.0 735.8  18.9   0.0  27.9   1.6 181.9     4.7 40.581 -105.086       2730.6
         251    2745.6 735.4  18.8  -0.1  27.9   1.6 181.6     4.6 40.581 -105.086       2735.1
         252    2750.0 735.0  18.8  -0.1  27.8   1.6 181.4     4.5 40.581 -105.086       2739.8
         253    2754.4 734.6  18.8  -0.2  27.7   1.6 181.1     4.3 40.581 -105.086       2744.5
         254    2758.8 734.2  18.8  -0.3  27.6   1.6 180.8     4.4 40.581 -105.086       2748.9
