fluxdate    fluxtime    fluxjulian    fluxcarrington  fluxobsflux  fluxadjflux  fluxursi  
----------  ----------  ------------  --------------  -----------  -----------  ----------
20041028    170000      02453307.229  002022.605      000132.7     000130.9     000117.8  
20041028    200000      02453307.354  002022.610      000135.8     000134.0     000120.6  
20041029    200000      02453308.354  002022.646      000130.6     000128.8     000115.9  
20041029    230000      02453308.479  002022.651      000134.2     000132.3     000119.1  
20041030    170000      02453309.229  002022.678      000147.9     000145.8     000131.2  
20041030    200000      02453309.354  002022.683      000136.4     000134.4     000121.0  
20041030    230000      02453309.479  002022.688      000140.2     000138.2     000124.4  
20041031    170000      02453310.229  002022.715      000140.3     000138.2     000124.4  
20041031    200000      02453310.354  002022.720      000139.2     000137.1     000123.4  
20041031    230000      02453310.479  002022.724      000138.3     000136.3     000122.6  
20041101    170000      02453311.229  002022.752      000134.0     000132.0     000118.8  
20041101    200000      02453311.354  002022.756      000135.5     000133.4     000120.0  
20041102    180000      02453312.271  002022.790      000133.7     000131.6     000118.4  
20041102    200000      02453312.354  002022.793      000133.1     000131.0     000117.9  
20041102    220000      02453312.437  002022.796      000133.1     000131.0     000117.9  
20041103    180000      02453313.271  002022.827      000144.9     000142.5     000128.3  
20041103    200000      02453313.354  002022.830      000135.9     000133.7     000120.3  
20041103    220000      02453313.437  002022.833      000131.5     000129.4     000116.4  
20041104    180000      02453314.271  002022.863      000130.8     000128.6     000115.7  
20041104    200000      02453314.354  002022.866      000136.0     000133.7     000120.3  
20041104    220000      02453314.437  002022.869      000154.7     000152.1     000136.9  
20041105    180000      02453315.271  002022.900      000135.9     000133.5     000120.2  
20041105    200000      02453315.354  002022.903      000141.2     000138.8     000124.9  
20041105    220000      02453315.437  002022.906      000135.9     000133.5     000120.2  
20041106    180000      02453316.271  002022.937      000129.6     000127.3     000114.6  
20041106    200000      02453316.354  002022.940      000128.8     000126.5     000113.9  
20041106    220000      02453316.437  002022.943      000124.5     000122.3     000110.0  
20041107    180000      02453317.271  002022.973      000152.3     000149.5     000134.5  
20041107    200000      02453317.354  002022.976      000129.6     000127.2     000114.5  
20041107    220000      02453317.437  002022.979      000131.0     000128.6     000115.8  
20041108    180000      02453318.271  002023.010      000123.7     000121.4     000109.2  
20041108    200000      02453318.354  002023.013      000124.1     000121.7     000109.6  
20041108    220000      02453318.437  002023.016      000125.2     000122.9     000110.6  
20041109    180000      02453319.271  002023.047      000333.3     000326.9     000294.2  
20041109    200000      02453319.354  002023.050      000140.9     000138.1     000124.3  
20041109    220000      02453319.437  002023.053      000126.6     000124.2     000111.8  
20041110    180000      02453320.270  002023.083      000107.8     000105.7     000095.1  
20041110    200000      02453320.354  002023.086      000104.6     000102.6     000092.3  
20041110    220000      02453320.437  002023.089      000104.4     000102.3     000092.1  
20041111    180000      02453321.271  002023.120      000094.9     000093.0     000083.7  
20041111    200000      02453321.354  002023.123      000094.9     000093.0     000083.7  
20041111    220000      02453321.437  002023.126      000096.6     000094.6     000085.2  
20041112    180000      02453322.271  002023.157      000096.4     000094.4     000085.0  
20041112    200000      02453322.356  002023.160      000096.0     000094.0     000084.6  
20041112    220000      02453322.437  002023.163      000096.3     000094.3     000084.9  
20041113    180000      02453323.271  002023.193      000096.6     000094.6     000085.1  
20041113    200000      02453323.354  002023.196      000096.4     000094.4     000084.9  
20041113    220000      02453323.437  002023.199      000098.1     000096.0     000086.4  
20041114    180000      02453324.271  002023.230      000099.6     000097.4     000087.7  
20041114    200000      02453324.354  002023.233      000100.3     000098.1     000088.3  
20041114    220000      02453324.437  002023.236      000099.7     000097.6     000087.8  
20041115    180000      02453325.271  002023.267      000104.1     000101.9     000091.7  
20041115    200000      02453325.354  002023.270      000105.6     000103.3     000093.0  
20041115    220000      02453325.442  002023.273      000107.9     000105.5     000094.9  
20041116    180000      02453326.271  002023.303      000104.1     000101.8     000091.6  
20041116    200000      02453326.360  002023.307      000106.6     000104.2     000093.8  
20041116    220000      02453326.437  002023.309      000107.8     000105.4     000094.8  
20041117    180000      02453327.277  002023.340      000104.9     000102.5     000092.2  
20041117    200000      02453327.354  002023.343      000104.9     000102.5     000092.3  
20041117    220000      02453327.437  002023.346      000107.2     000104.7     000094.3  
20041118    180000      02453328.271  002023.377      000104.9     000102.5     000092.2  
20041118    200000      02453328.354  002023.380      000104.0     000101.6     000091.5  
20041118    220000      02453328.437  002023.383      000107.1     000104.6     000094.2  
