fluxdate    fluxtime    fluxjulian    fluxcarrington  fluxobsflux  fluxadjflux  fluxursi  
20041119    180000      02453329.271  002023.413      000102.7     000100.3     000090.3  
20041119    200000      02453329.354  002023.416      000103.4     000100.9     000090.8  
20041119    220000      02453329.437  002023.419      000104.7     000102.2     000092.0  
20041120    180000      02453330.273  002023.450      000099.1     000096.7     000087.1  
20041120    200000      02453330.354  002023.453      000099.3     000096.9     000087.2  
20041120    220000      02453330.437  002023.456      000101.2     000098.8     000088.9  
20041121    180000      02453331.271  002023.487      000101.0     000098.5     000088.7  
20041121    200000      02453331.354  002023.490      000100.9     000098.5     000088.6  
20041121    220000      02453331.437  002023.493      000102.5     000100.0     000090.0  
20041122    180000      02453332.271  002023.523      000105.7     000103.0     000092.7  
20041122    200000      02453332.354  002023.526      000106.3     000103.7     000093.3  
20041122    220000      02453332.437  002023.529      000107.3     000104.6     000094.2  
20041123    180000      02453333.271  002023.560      000109.4     000106.7     000096.0  
20041123    200000      02453333.354  002023.563      000106.9     000104.2     000093.8  
20041123    220000      02453333.437  002023.566      000109.2     000106.4     000095.8  
20041124    180000      02453334.271  002023.597      000104.7     000102.0     000091.8  
20041124    200000      02453334.354  002023.600      000107.3     000104.5     000094.1  
20041124    220000      02453334.437  002023.603      000112.7     000109.8     000098.8  
20041125    180000      02453335.271  002023.633      000108.8     000106.0     000095.4  
20041125    200000      02453335.354  002023.636      000109.4     000106.6     000095.9  
20041125    220000      02453335.437  002023.639      000111.0     000108.2     000097.3  
20041126    180000      02453336.271  002023.670      000111.2     000108.2     000097.4  
20041126    200000      02453336.354  002023.673      000111.1     000108.2     000097.4  
20041126    220000      02453336.437  002023.676      000114.6     000111.6     000100.4  
20041127    180000      02453337.271  002023.707      000110.0     000107.1     000096.4  
20041127    200000      02453337.354  002023.710      000110.3     000107.4     000096.7  
20041127    220000      02453337.437  002023.713      000111.4     000108.4     000097.6  
20041128    180000      02453338.271  002023.743      000110.3     000107.3     000096.6  
20041128    200000      02453338.354  002023.746      000112.8     000109.8     000098.8  
20041128    220000      02453338.437  002023.749      000113.3     000110.2     000099.2  
20041129    180000      02453339.271  002023.780      000109.9     000106.9     000096.2  
20041129    200000      02453339.354  002023.783      000111.4     000108.4     000097.5  
20041129    220000      02453339.437  002023.786      000114.8     000111.6     000100.5  
20041130    180000      02453340.271  002023.817      000108.9     000105.9     000095.3  
20041130    200000      02453340.354  002023.820      000110.6     000107.5     000096.8  
20041130    220000      02453340.437  002023.823      000110.5     000107.4     000096.7  
20041201    180000      02453341.271  002023.853      000113.3     000110.1     000099.1  
20041201    200000      02453341.354  002023.856      000111.0     000107.8     000097.1  
20041201    220000      02453341.437  002023.859      000111.8     000108.7     000097.8  
20041202    180000      02453342.271  002023.890      000105.1     000102.2     000091.9  
20041202    200000      02453342.354  002023.893      000105.6     000102.6     000092.3  
20041202    220000      02453342.437  002023.896      000105.6     000102.6     000092.4  
20041203    180000      02453343.271  002023.927      000101.0     000098.2     000088.3  
20041203    200000      02453343.354  002023.930      000100.8     000097.9     000088.1  
20041203    220000      02453343.437  002023.933      000101.3     000098.4     000088.5  
20041204    180000      02453344.275  002023.963      000096.3     000093.6     000084.2  
20041204    200000      02453344.354  002023.966      000097.4     000094.6     000085.1  
20041204    220000      02453344.437  002023.969      000098.3     000095.4     000085.9  
20041205    180000      02453345.271  002024.000      000095.5     000092.7     000083.4  
20041205    200000      02453345.352  002024.003      000095.9     000093.1     000083.8  
20041205    220000      02453345.437  002024.006      000097.9     000095.1     000085.6  
20041206    180000      02453346.271  002024.037      000092.0     000089.3     000080.4  
20041206    200000      02453346.354  002024.040      000093.2     000090.4     000081.4  
20041206    220000      02453346.436  002024.043      000093.7     000090.9     000081.8  
20041207    180000      02453347.276  002024.073      000089.1     000086.5     000077.9  
20041207    200000      02453347.354  002024.076      000089.7     000087.1     000078.4  
20041207    220000      02453347.437  002024.079      000091.5     000088.8     000079.9  
20041208    180000      02453348.271  002024.110      000080.9     000078.4     000070.6  
20041208    200000      02453348.354  002024.113      000096.5     000093.6     000084.3  
20041208    220000      02453348.437  002024.116      000094.4     000091.6     000082.4  
20041209    180000      02453349.271  002024.147      000086.2     000083.7     000075.3  
20041209    200000      02453349.354  002024.150      000087.4     000084.7     000076.3  
20041209    220000      02453349.437  002024.153      000088.8     000086.1     000077.5  
20041210    180000      02453350.271  002024.183      000084.9     000082.4     000074.1  
20041210    200000      02453350.354  002024.186      000084.8     000082.3     000074.0  
20041210    220000      02453350.438  002024.189      000086.5     000083.9     000075.5  
20041211    180000      02453351.272  002024.220      000087.2     000084.5     000076.1  
20041211    200000      02453351.354  002024.223      000089.8     000087.1     000078.4  
20041211    220000      02453351.437  002024.226      000093.7     000090.9     000081.8  
20041212    180000      02453352.271  002024.257      000090.9     000088.1     000079.3  
20041212    200000      02453352.354  002024.260      000090.5     000087.7     000079.0  
20041212    220000      02453352.437  002024.263      000092.6     000089.7     000080.7  
20041213    180000      02453353.271  002024.293      000087.1     000084.4     000076.0  
20041213    200000      02453353.353  002024.296      000089.7     000087.0     000078.3  
20041213    220000      02453353.437  002024.299      000090.9     000088.1     000079.3  
20041214    180000      02453354.269  002024.330      000086.7     000084.0     000075.6  
20041214    200000      02453354.354  002024.333      000089.3     000086.5     000077.8  
20041214    220000      02453354.437  002024.336      000090.4     000087.6     000078.8  
20041215    180000      02453355.271  002024.367      000088.8     000086.0     000077.4  
20041215    200000      02453355.354  002024.370      000089.3     000086.5     000077.8  
20041215    220000      02453355.438  002024.373      000088.9     000086.1     000077.5  
20041221    200000      02453361.354  002024.590      000101.0     000097.7     000087.9  
20041221    220000      02453361.437  002024.593      000101.2     000097.9     000088.1  
20041222    180000      02453362.271  002024.623      000098.4     000095.2     000085.7  
20041222    200000      02453362.354  002024.626      000098.8     000095.6     000086.0  
20041222    220000      02453362.437  002024.629      000100.2     000096.9     000087.2  
20041223    180000      02453363.271  002024.660      000096.5     000093.3     000084.0  
20041223    200000      02453363.354  002024.663      000096.4     000093.2     000083.9  
20041223    220000      02453363.437  002024.666      000097.3     000094.1     000084.7  
20041224    180000      02453364.271  002024.696      000096.6     000093.5     000084.1  
20041224    200000      02453364.354  002024.700      000097.2     000094.0     000084.6  
20041224    220000      02453364.437  002024.703      000097.6     000094.4     000085.0  
20041225    180000      02453365.271  002024.733      000092.2     000089.2     000080.2  
20041225    200000      02453365.354  002024.736      000093.0     000090.0     000081.0  
20041225    220000      02453365.437  002024.739      000094.1     000091.0     000081.9  
20041226    180000      02453366.271  002024.770      000088.8     000085.9     000077.3  
20041226    200000      02453366.354  002024.773      000091.7     000088.7     000079.8  
20041226    220000      02453366.437  002024.776      000095.8     000092.6     000083.4  
20041227    180000      02453367.271  002024.806      000094.7     000091.6     000082.4  
20041227    200000      02453367.354  002024.810      000096.9     000093.7     000084.3  
20041227    220000      02453367.437  002024.813      000098.5     000095.2     000085.7  
20041228    180000      02453368.271  002024.843      000112.3     000108.6     000097.7  
20041228    200000      02453368.354  002024.846      000105.2     000101.7     000091.5  
20041228    220000      02453368.437  002024.849      000103.0     000099.6     000089.7  
20041229    180000      02453369.271  002024.880      000101.0     000097.7     000087.9  
20041229    200000      02453369.354  002024.883      000098.5     000095.3     000085.8  
20041229    220000      02453369.437  002024.886      000101.6     000098.3     000088.5  
20041230    180000      02453370.271  002024.916      000100.3     000096.9     000087.2  
20041230    200000      02453370.354  002024.919      000100.0     000096.7     000087.0  
20041230    220000      02453370.437  002024.923      000100.5     000097.2     000087.5  
20041231    180000      02453371.279  002024.953      000095.8     000092.6     000083.3  
20041231    200000      02453371.354  002024.956      000098.5     000095.2     000085.7  
20041231    220000      02453371.437  002024.959      000100.4     000097.0     000087.3  
20050101    180000      02453372.271  002024.990      000096.5     000093.3     000084.0  
20050101    200000      02453372.354  002024.993      000098.9     000095.6     000086.0  
20050101    220000      02453372.437  002024.996      000100.8     000097.5     000087.7  
20050102    180000      02453373.271  002025.026      000098.7     000095.4     000085.9  
20050102    200000      02453373.354  002025.029      000100.0     000096.7     000087.0  
20050102    220000      02453373.437  002025.033      000098.5     000095.3     000085.7  
20050103    180000      02453374.271  002025.063      000091.8     000088.7     000079.9  
20050103    200000      02453374.354  002025.066      000094.2     000091.0     000081.9  
20050103    220000      02453374.437  002025.069      000093.9     000090.8     000081.7  
20050104    180000      02453375.271  002025.100      000087.3     000084.4     000076.0  
20050104    200000      02453375.354  002025.103      000088.0     000085.1     000076.6  
20050104    220000      02453375.437  002025.106      000088.7     000085.7     000077.2  
20050105    180000      02453376.271  002025.136      000087.5     000084.6     000076.2  
20050105    200000      02453376.361  002025.140      000086.9     000084.1     000075.7  
20050105    220000      02453376.437  002025.143      000086.8     000083.9     000075.5  
20050106    180000      02453377.271  002025.173      000082.8     000080.1     000072.1  
20050106    200000      02453377.354  002025.176      000083.2     000080.4     000072.4  
20050106    220000      02453377.437  002025.179      000084.3     000081.5     000073.4  
20050107    180000      02453378.271  002025.210      000082.5     000079.8     000071.8  
20050107    200000      02453378.354  002025.213      000083.5     000080.7     000072.7  
20050107    220000      02453378.437  002025.216      000084.6     000081.8     000073.7  
20050108    180000      02453379.271  002025.246      000085.2     000082.4     000074.2  
20050108    200000      02453379.361  002025.250      000087.3     000084.5     000076.0  
20050108    220000      02453379.437  002025.253      000087.4     000084.5     000076.1  
20050109    180000      02453380.271  002025.283      000089.2     000086.3     000077.6  
20050109    200000      02453380.354  002025.286      000087.5     000084.6     000076.1  
20050109    220000      02453380.437  002025.289      000090.3     000087.4     000078.6  
20050110    180000      02453381.271  002025.320      000088.9     000086.0     000077.4  
20050110    200000      02453381.354  002025.323      000090.1     000087.1     000078.4  
20050110    220000      02453381.437  002025.326      000092.5     000089.5     000080.5  
20050111    180000      02453382.271  002025.356      000093.6     000090.5     000081.4  
20050111    200000      02453382.354  002025.359      000094.2     000091.1     000082.0  
20050111    220000      02453382.437  002025.362      000095.9     000092.7     000083.5  
20050112    180000      02453383.271  002025.393      000100.8     000097.5     000087.8  
20050112    200000      02453383.354  002025.396      000102.1     000098.8     000088.9  
20050112    220000      02453383.437  002025.399      000103.2     000099.8     000089.9  
20050113    180000      02453384.271  002025.430      000112.7     000109.0     000098.1  
20050113    200000      02453384.354  002025.433      000115.6     000111.9     000100.7  
20050113    220000      02453384.437  002025.436      000117.7     000113.9     000102.5  
20050114    180000      02453385.271  002025.466      000127.5     000123.3     000111.0  
20050114    200000      02453385.354  002025.469      000129.8     000125.6     000113.0  
20050114    220000      02453385.437  002025.472      000136.2     000131.8     000118.6  
20050115    180000      02453386.271  002025.503      000147.2     000142.5     000128.2  
20050115    200000      02453386.354  002025.506      000144.9     000140.2     000126.2  
20050115    220000      02453386.437  002025.509      000181.0     000175.1     000157.6  
20050116    180000      02453387.271  002025.540      000144.3     000139.6     000125.6  
20050116    200000      02453387.354  002025.543      000144.5     000139.8     000125.8  
20050116    220000      02453387.437  002025.546      000148.8     000144.0     000129.6  
20050117    180000      02453388.271  002025.576      000139.0     000134.5     000121.1  
20050117    200000      02453388.354  002025.579      000137.5     000133.1     000119.8  
20050117    220000      02453388.437  002025.582      000138.4     000134.0     000120.6  
20050118    180000      02453389.271  002025.613      000134.1     000129.9     000116.9  
20050118    200000      02453389.354  002025.616      000124.3     000120.3     000108.3  
20050118    220000      02453389.437  002025.619      000130.7     000126.6     000113.9  
20050119    180000      02453390.271  002025.650      000134.7     000130.4     000117.3  
20050119    200000      02453390.354  002025.653      000132.5     000128.3     000115.4  
20050119    220000      02453390.437  002025.656      000132.1     000127.9     000115.1  
20050120    180000      02453391.271  002025.686      000122.6     000118.7     000106.9  
20050120    200000      02453391.354  002025.689      000122.7     000118.8     000106.9  
20050120    220000      02453391.437  002025.692      000123.0     000119.1     000107.2  
20050121    180000      02453392.271  002025.723      000114.8     000111.2     000100.1  
20050121    200000      02453392.354  002025.726      000113.5     000109.9     000098.9  
20050121    220000      02453392.437  002025.729      000113.6     000110.1     000099.1  
20050122    180000      02453393.271  002025.760      000104.3     000101.0     000090.9  
20050122    200000      02453393.354  002025.763      000102.2     000099.1     000089.1  
20050122    220000      02453393.437  002025.766      000103.4     000100.2     000090.2  
20050123    180000      02453394.271  002025.796      000095.8     000092.8     000083.5  
20050123    200000      02453394.354  002025.799      000095.8     000092.8     000083.6  
20050123    220000      02453394.437  002025.802      000096.0     000093.1     000083.8  
20050124    180000      02453395.271  002025.833      000093.7     000090.8     000081.7  
20050124    200000      02453395.354  002025.836      000094.6     000091.7     000082.5  
20050124    220000      02453395.437  002025.839      000094.7     000091.8     000082.6  
20050125    180000      02453396.271  002025.870      000090.2     000087.4     000078.7  
20050125    200000      02453396.354  002025.873      000094.1     000091.2     000082.1  
20050125    220000      02453396.437  002025.876      000094.2     000091.4     000082.2  
20050126    180000      02453397.271  002025.906      000089.9     000087.1     000078.4  
20050126    200000      02453397.354  002025.909      000089.3     000086.6     000078.0  
20050126    220000      02453397.437  002025.912      000089.2     000086.5     000077.9  
20050127    180000      02453398.271  002025.943      000084.7     000082.2     000074.0  
20050127    200000      02453398.354  002025.946      000086.9     000084.3     000075.8  
20050127    220000      02453398.437  002025.949      000086.7     000084.1     000075.7  
20050128    180000      02453399.271  002025.980      000085.1     000082.6     000074.3  
20050128    200000      02453399.354  002025.983      000084.9     000082.4     000074.2  
20050128    220000      02453399.437  002025.986      000085.6     000083.1     000074.7  
20050129    180000      02453400.271  002026.016      000084.6     000082.1     000073.9  
20050129    200000      02453400.354  002026.019      000086.4     000083.9     000075.5  
20050129    220000      02453400.437  002026.022      000086.3     000083.7     000075.3  
20050130    180000      02453401.271  002026.053      000085.3     000082.8     000074.5  
20050130    200000      02453401.354  002026.056      000085.5     000082.9     000074.6  
20050130    220000      02453401.437  002026.059      000086.4     000083.8     000075.4  
20050131    180000      02453402.271  002026.090      000086.4     000083.9     000075.5  
20050131    200000      02453402.354  002026.093      000086.2     000083.6     000075.3  
20050131    220000      02453402.437  002026.096      000086.6     000084.0     000075.6  
20050201    180000      02453403.271  002026.126      000083.6     000081.2     000073.1  
20050201    200000      02453403.354  002026.129      000083.7     000081.3     000073.2  
20050201    220000      02453403.437  002026.132      000083.9     000081.5     000073.3  
20050202    180000      02453404.271  002026.163      000081.8     000079.5     000071.5  
20050202    200000      02453404.354  002026.166      000081.8     000079.4     000071.5  
20050202    220000      02453404.437  002026.169      000082.5     000080.1     000072.1  
20050203    180000      02453405.271  002026.200      000083.2     000080.9     000072.8  
20050203    200000      02453405.354  002026.203      000083.0     000080.7     000072.6  
20050203    220000      02453405.437  002026.206      000083.7     000081.4     000073.2  
20050204    180000      02453406.271  002026.236      000084.9     000082.5     000074.3  
20050204    200000      02453406.354  002026.239      000082.1     000079.8     000071.8  
20050204    220000      02453406.437  002026.242      000086.5     000084.1     000075.7  
20050205    180000      02453407.271  002026.273      000092.7     000090.1     000081.1  
20050205    200000      02453407.354  002026.276      000094.6     000092.0     000082.8  
20050205    220000      02453407.437  002026.279      000095.8     000093.2     000083.9  
20050206    180000      02453408.271  002026.310      000100.4     000097.7     000087.9  
20050206    200000      02453408.354  002026.313      000097.0     000094.3     000084.9  
20050206    220000      02453408.437  002026.316      000097.4     000094.8     000085.3  
20050207    180000      02453409.271  002026.346      000102.1     000099.4     000089.4  
20050207    200000      02453409.354  002026.349      000103.1     000100.3     000090.3  
20050207    220000      02453409.437  002026.352      000102.9     000100.1     000090.1  
20050208    180000      02453410.271  002026.383      000107.8     000105.0     000094.5  
20050208    200000      02453410.354  002026.386      000108.2     000105.4     000094.8  
20050208    220000      02453410.437  002026.389      000110.4     000107.5     000096.7  
20050209    180000      02453411.271  002026.420      000108.6     000105.8     000095.2  
20050209    200000      02453411.354  002026.423      000108.6     000105.8     000095.2  
20050209    220000      02453411.437  002026.426      000109.2     000106.3     000095.7  
20050210    180000      02453412.271  002026.456      000111.9     000109.0     000098.1  
20050210    200000      02453412.354  002026.459      000114.1     000111.1     000100.0  
20050210    220000      02453412.437  002026.462      000113.7     000110.8     000099.7  
20050211    180000      02453413.271  002026.493      000115.5     000112.5     000101.3  
20050211    200000      02453413.354  002026.496      000114.1     000111.2     000100.1  
20050211    220000      02453413.437  002026.499      000115.3     000112.4     000101.1  
20050212    180000      02453414.271  002026.530      000116.8     000113.8     000102.4  
20050212    200000      02453414.354  002026.533      000116.4     000113.5     000102.1  
20050212    220000      02453414.437  002026.536      000116.7     000113.7     000102.4  
20050213    180000      02453415.271  002026.566      000115.7     000112.8     000101.5  
20050213    200000      02453415.354  002026.569      000115.5     000112.7     000101.4  
20050213    220000      02453415.437  002026.572      000118.0     000115.0     000103.5  
20050214    180000      02453416.271  002026.603      000117.5     000114.6     000103.2  
20050214    200000      02453416.354  002026.606      000118.1     000115.2     000103.7  
20050214    220000      02453416.437  002026.609      000117.4     000114.5     000103.1  
20050215    180000      02453417.271  002026.640      000120.2     000117.3     000105.5  
20050215    200000      02453417.354  002026.643      000121.7     000118.7     000106.9  
20050215    220000      02453417.437  002026.646      000118.1     000115.3     000103.8  
20050216    180000      02453418.271  002026.676      000112.9     000110.2     000099.2  
20050216    200000      02453418.354  002026.679      000112.8     000110.2     000099.1  
20050216    220000      02453418.437  002026.682      000112.9     000110.2     000099.2  
20050217    180000      02453419.271  002026.713      000110.8     000108.2     000097.4  
20050217    200000      02453419.354  002026.716      000111.3     000108.8     000097.9  
20050217    220000      02453419.437  002026.719      000109.0     000106.5     000095.8  
20050218    180000      02453420.271  002026.750      000104.0     000101.7     000091.5  
20050218    200000      02453420.354  002026.753      000104.2     000101.8     000091.7  
20050218    220000      02453420.437  002026.756      000105.1     000102.7     000092.4  
20050219    180000      02453421.271  002026.786      000098.8     000096.6     000086.9  
20050219    200000      02453421.354  002026.789      000098.5     000096.3     000086.7  
20050219    220000      02453421.437  002026.792      000098.9     000096.7     000087.0  
20050220    180000      02453422.271  002026.823      000095.0     000092.9     000083.6  
20050220    200000      02453422.354  002026.826      000095.7     000093.6     000084.2  
20050220    220000      02453422.437  002026.829      000096.3     000094.1     000084.7  
20050221    180000      02453423.271  002026.860      000093.3     000091.3     000082.1  
20050221    200000      02453423.354  002026.863      000094.5     000092.5     000083.2  
20050221    220000      02453423.437  002026.866      000094.6     000092.5     000083.3  
20050222    180000      02453424.271  002026.896      000091.0     000089.1     000080.2  
20050222    200000      02453424.354  002026.899      000092.3     000090.4     000081.3  
20050222    220000      02453424.437  002026.902      000091.3     000089.4     000080.4  
20050223    180000      02453425.271  002026.933      000086.3     000084.5     000076.1  
20050223    200000      02453425.354  002026.936      000084.6     000082.8     000074.5  
20050223    220000      02453425.437  002026.939      000084.5     000082.8     000074.5  
20050224    180000      02453426.271  002026.970      000080.6     000079.0     000071.1  
20050224    200000      02453426.354  002026.973      000080.3     000078.6     000070.8  
20050224    220000      02453426.437  002026.976      000080.5     000078.9     000071.0  
20050225    180000      02453427.271  002027.006      000078.1     000076.6     000068.9  
20050225    200000      02453427.354  002027.009      000078.2     000076.7     000069.0  
20050225    220000      02453427.437  002027.012      000078.2     000076.6     000068.9  
20050226    180000      02453428.271  002027.043      000076.5     000075.0     000067.5  
20050226    200000      02453428.354  002027.046      000076.6     000075.1     000067.6  
20050226    220000      02453428.437  002027.049      000076.7     000075.2     000067.7  
20050227    180000      02453429.271  002027.080      000075.9     000074.5     000067.0  
20050227    200000      02453429.354  002027.083      000075.8     000074.4     000066.9  
20050227    220000      02453429.437  002027.086      000075.7     000074.3     000066.9  
20050228    180000      02453430.271  002027.116      000075.0     000073.6     000066.3  
20050228    200000      02453430.354  002027.119      000075.0     000073.6     000066.2  
20050228    220000      02453430.437  002027.122      000074.9     000073.5     000066.2  
20050301    170000      02453431.229  002027.151      000073.8     000072.5     000065.3  
20050301    200000      02453431.354  002027.156      000073.7     000072.4     000065.2  
20050301    230000      02453431.479  002027.161      000074.4     000073.1     000065.8  
20050302    170000      02453432.229  002027.188      000074.7     000073.4     000066.1  
20050302    200000      02453432.354  002027.193      000074.6     000073.4     000066.0  
20050302    230000      02453432.479  002027.197      000075.1     000073.8     000066.4  
20050303    170000      02453433.229  002027.225      000077.9     000076.6     000068.9  
20050303    200000      02453433.354  002027.229      000077.0     000075.7     000068.1  
20050303    230000      02453433.479  002027.234      000077.4     000076.1     000068.5  
20050304    170000      02453434.229  002027.261      000078.9     000077.6     000069.9  
20050304    200000      02453434.354  002027.266      000078.9     000077.7     000069.9  
20050304    230000      02453434.479  002027.271      000080.0     000078.7     000070.9  
20050305    170000      02453435.229  002027.298      000081.1     000079.8     000071.8  
20050305    200000      02453435.354  002027.303      000081.2     000079.9     000071.9  
20050305    230000      02453435.479  002027.307      000082.0     000080.7     000072.7  
20050306    170000      02453436.229  002027.335      000082.9     000081.7     000073.5  
20050306    200000      02453436.354  002027.339      000083.6     000082.3     000074.1  
20050306    230000      02453436.479  002027.344      000084.6     000083.3     000075.0  
20050307    170000      02453437.229  002027.371      000086.9     000085.6     000077.1  
20050307    200000      02453437.354  002027.376      000087.0     000085.7     000077.1  
20050307    230000      02453437.479  002027.381      000088.5     000087.2     000078.5  
20050308    170000      02453438.229  002027.408      000092.4     000091.1     000082.0  
20050308    200000      02453438.354  002027.413      000093.5     000092.2     000083.0  
20050308    230000      02453438.479  002027.417      000095.5     000094.1     000084.7  
20050309    170000      02453439.229  002027.445      000098.7     000097.3     000087.6  
20050309    200000      02453439.354  002027.449      000099.9     000098.5     000088.6  
20050309    230000      02453439.479  002027.454      000101.7     000100.3     000090.3  
20050310    170000      02453440.229  002027.481      000102.0     000100.6     000090.5  
20050310    200000      02453440.354  002027.486      000101.6     000100.3     000090.2  
20050310    230000      02453440.479  002027.491      000102.5     000101.2     000091.1  
20050311    170000      02453441.229  002027.518      000105.7     000104.4     000094.0  
20050311    200000      02453441.354  002027.523      000104.9     000103.6     000093.2  
20050311    230000      02453441.479  002027.527      000105.8     000104.4     000094.0  
20050312    170000      02453442.229  002027.555      000110.3     000108.9     000098.0  
20050312    200000      02453442.354  002027.559      000110.1     000108.8     000097.9  
20050312    230000      02453442.479  002027.564      000112.3     000110.9     000099.8  
20050313    170000      02453443.229  002027.591      000113.7     000112.4     000101.1  
20050313    200000      02453443.354  002027.596      000113.8     000112.5     000101.2  
20050313    230000      02453443.479  002027.601      000114.2     000112.9     000101.6  
20050314    170000      02453444.229  002027.628      000114.9     000113.7     000102.3  
20050314    200000      02453444.354  002027.633      000111.5     000110.3     000099.2  
20050314    230000      02453444.479  002027.637      000111.2     000110.0     000099.0  
20050315    170000      02453445.229  002027.665      000108.8     000107.7     000096.9  
20050315    200000      02453445.354  002027.669      000108.2     000107.0     000096.3  
20050315    230000      02453445.479  002027.674      000108.2     000107.1     000096.4  
20050316    170000      02453446.229  002027.701      000103.4     000102.4     000092.2  
20050316    200000      02453446.354  002027.706      000104.6     000103.6     000093.2  
20050316    230000      02453446.479  002027.711      000101.9     000100.9     000090.8  
20050317    170000      02453447.229  002027.738      000101.6     000100.6     000090.5  
20050317    200000      02453447.354  002027.743      000101.7     000100.7     000090.6  
20050317    230000      02453447.479  002027.747      000102.0     000101.0     000090.9  
20050318    170000      02453448.229  002027.775      000097.2     000096.3     000086.7  
20050318    200000      02453448.337  002027.779      000096.5     000095.7     000086.1  
20050318    230000      02453448.462  002027.783      000095.9     000095.1     000085.6  
20050319    170000      02453449.212  002027.811      000090.0     000089.2     000080.3  
