ALERT Rain Report 00/08/09 14:45:01 GMT, Units: INCHES
PcpID, Last Report      , 5min , 1hour, 6hour, 1day , SHEF
1660 , 00/08/09 08:10:07, 0.00 , 0.00 , 0.00 , 0.00 , HNDC2
1700 , 00/08/09 07:31:56, 0.00 , 0.00 , 0.00 , 0.00 , CCMC2
1720 , 00/08/09 05:33:53, 0.00 , 0.00 , 0.00 , 0.00 , CCSC2
1800 , 00/08/09 05:27:05, 0.00 , 0.00 , 0.00 , 0.08 , SCPC2
1810 , 00/08/09 10:47:02, 0.00 , 0.00 , 0.00 , 0.00 , SCMC2
1900 , 00/08/09 07:05:15, 0.00 , 0.00 , 0.00 , 0.00 , NIVC2
1920 , 00/08/09 09:26:57, 0.00 , 0.00 , 0.00 , 0.00 , BHNC2
2190 , 00/08/09 06:02:34, 0.00 , 0.00 , 0.00 , 0.00 , SQWC2
2210 , 00/08/09 07:14:37, 0.00 , 0.00 , 0.00 , 0.00 , HGCC2
2230 , 00/08/09 06:45:50, 0.00 , 0.00 , 0.00 , 0.00 , BBCC2
2240 , 00/08/09 06:42:29, 0.00 , 0.00 , 0.00 , 0.00 , CGCC2
2250 , 00/08/09 05:06:30, 0.00 , 0.00 , 0.00 , 0.00 , ROSC2
2260 , 00/08/09 08:05:54, 0.00 , 0.00 , 0.00 , 0.00 , BRKC2
2270 , 00/08/09 08:35:04, 0.00 , 0.00 , 0.00 , 0.00 , CBBC2
2280 , 00/08/09 06:49:31, 0.00 , 0.00 , 0.00 , 0.00 , KIPC2
2310 , 00/08/09 08:31:24, 0.00 , 0.00 , 0.00 , 0.00 , GEVC2
2320 , 00/08/09 08:00:02, 0.00 , 0.00 , 0.00 , 0.00 , CHOC2
2330 , 00/08/09 13:18:54, 0.00 , 0.00 , 0.00 , 0.00 , MRSC2
2340 , 00/08/08 21:47:01, 0.00 , 0.00 , 0.00 , 0.00 , ERPC2
2350 , 00/08/09 07:52:34, 0.00 , 0.00 , 0.00 , 0.00 , IDLC2
2360 , 00/08/09 07:26:04, 0.00 , 0.00 , 0.00 , 0.00 , INDC2
2370 , 00/08/09 05:23:49, 0.00 , 0.00 , 0.00 , 0.00 , RRPC2
2710 , 00/08/09 04:58:11, 0.00 , 0.00 , 0.00 , 0.04 , HIGC2
2730 , 00/08/09 08:48:00, 0.00 , 0.00 , 0.00 , 0.00 , SAPC2
2750 , 00/08/09 09:56:20, 0.00 , 0.00 , 0.00 , 0.00 , COKC2
2810 , 00/08/09 06:31:21, 0.00 , 0.00 , 0.00 , 0.00 , WPCC2
2820 , 00/04/02 17:38:32, -999 , -999 , -999 , -999 , 2820 
2830 , 00/08/08 17:26:40, 0.00 , 0.00 , 0.00 , 0.00 , CARC2
4010 , 00/08/09 08:11:23, 0.00 , 0.00 , 0.00 , 0.00 , CREC2
4020 , 00/08/09 08:19:25, 0.00 , 0.00 , 0.00 , 0.00 , RGRC2
4030 , 00/08/09 04:32:37, 0.00 , 0.00 , 0.00 , 0.00 , REDC2
4040 , 00/08/09 10:33:53, 0.00 , 0.00 , 0.00 , 0.00 , MARC2
4050 , 00/08/09 09:55:26, 0.00 , 0.00 , 0.00 , 0.00 , WLRC2
4060 , 00/08/09 01:00:59, 0.00 , 0.00 , 0.00 , 0.00 , LSHC2
4070 , 00/08/08 18:54:50, 0.00 , 0.00 , 0.00 , 0.00 , BPKC2
4080 , 00/08/09 12:17:22, 0.00 , 0.00 , 0.00 , 0.00 , TWIC2
4090 , 00/08/09 05:51:07, 0.00 , 0.00 , 0.00 , 0.00 , MAGC2
4100 , 00/08/09 08:23:43, 0.00 , 0.00 , 0.00 , 0.00 , FILC2
4110 , 00/08/09 03:24:55, 0.00 , 0.00 , 0.00 , 0.00 , BETC2
4130 , 00/08/09 03:36:03, 0.00 , 0.00 , 0.00 , 0.00 , SWIC2
4140 , 00/08/08 21:15:37, 0.00 , 0.00 , 0.00 , 0.00 , LOGC2
4150 , 00/08/08 19:40:31, 0.00 , 0.00 , 0.00 , 0.00 , GLHC2
4160 , 00/08/09 12:40:13, 0.00 , 0.00 , 0.00 , 0.00 , SUNC2
4170 , 00/08/09 08:24:20, 0.00 , 0.00 , 0.00 , 0.00 , PBHC2
4180 , 00/08/09 12:29:04, 0.00 , 0.00 , 0.00 , 0.00 , GLLC2
4190 , 00/08/09 10:30:57, 0.00 , 0.00 , 0.00 , 0.00 , SLGC2
4200 , 00/08/09 08:19:41, 0.00 , 0.00 , 0.00 , 0.00 , LZAC2
4220 , 00/08/09 09:47:27, 0.00 , 0.00 , 0.00 , 0.00 , FLIC2
4230 , 00/08/09 11:12:35, 0.00 , 0.00 , 0.00 , 0.00 , GOAC2
4240 , 00/08/08 02:54:12, -999 , -999 , -999 , 0.00 , SUSC2
4250 , 00/08/09 03:59:48, 0.00 , 0.00 , 0.00 , 0.00 , GEEC2
4260 , 00/08/09 11:40:48, 0.00 , 0.00 , 0.00 , 0.00 , TYMC2
4270 , 00/08/08 15:41:23, -999 , -999 , -999 , -999 , CMTC2
4290 , 00/08/09 03:27:48, 0.00 , 0.00 , 0.00 , 0.00 , RDHC2
4300 , 00/08/08 19:38:17, 0.00 , 0.00 , 0.00 , 0.00 , BEPC2
4310 , 00/08/09 07:29:17, 0.00 , 0.00 , 0.00 , 0.00 , JOPC2
4330 , 00/08/08 20:07:26, 0.00 , 0.00 , 0.00 , 0.00 , INRC2
4340 , 00/08/09 11:37:23, 0.00 , 0.00 , 0.00 , 0.00 , RVRC2
4350 , 00/08/07 19:41:43, -999 , -999 , -999 , -999 , COHC2
4360 , 00/08/09 12:39:12, 0.00 , 0.00 , 0.00 , 0.00 , JUCC2
4470 , 00/08/09 03:38:17, 0.00 , 0.00 , 0.00 , 0.00 , LENC2
4490 , 00/08/09 05:59:38, 0.00 , 0.00 , 0.00 , 0.00 , APLC2
4510 , 00/08/07 20:17:57, -999 , -999 , -999 , 0.00 , PWSC2
4520 , 00/08/09 11:53:56, 0.00 , 0.00 , 0.00 , 0.00 , ERDC2
4530 , 00/08/09 11:40:08, 0.00 , 0.00 , 0.00 , 0.00 , WSWC2
4550 , 00/08/09 06:55:59, 0.00 , 0.00 , 0.00 , 0.00 , NBJC2
4570 , 00/08/09 05:12:01, 0.00 , 0.00 , 0.00 , 0.00 , STAC2
4710 , 00/08/09 06:17:20, 0.00 , 0.00 , 0.00 , 0.00 , WRDC2
4730 , 00/08/09 05:26:17, 0.00 , 0.00 , 0.00 , 0.00 , SFSC2
4750 , 00/08/09 07:26:05, 0.00 , 0.00 , 0.00 , 0.00 , LEWC2
4770 , 00/08/09 10:53:44, 0.00 , 0.00 , 0.00 , 0.00 , CALC2
4790 , 00/08/09 08:29:21, 0.00 , 0.00 , 0.00 , 0.00 , BTRC2
