ALERT Rain Report 00/08/09 14:45:01 GMT, Units: INCHES
PcpID, Last Report      , 5min , 1hour, 6hour, 1day , SHEF
100  , 00/08/09 10:16:05, 0.00 , 0.00 , 0.00 , 0.00 , CRTC2
110  , 00/08/09 05:06:37, 0.00 , 0.00 , 0.00 , 0.00 , RALC2
120  , 00/08/09 10:36:49, 0.00 , 0.00 , 0.00 , 0.00 , CRPC2
140  , 00/08/09 06:01:16, 0.00 , 0.00 , 0.00 , 0.00 , BMTC2
150  , 00/08/09 08:34:09, 0.00 , 0.00 , 0.00 , 0.00 , NOTC2
200  , 00/08/09 06:03:36, 0.00 , 0.00 , 0.00 , 0.00 , LEYC2
210  , 00/08/09 03:57:15, 0.00 , 0.00 , 0.00 , 0.00 , LCNC2
220  , 00/08/09 04:47:05, 0.00 , 0.00 , 0.00 , 0.08 , LECC2
300  , 00/08/09 09:22:06, 0.00 , 0.00 , 0.00 , 0.00 , VABC2
310  , 00/08/09 12:10:26, 0.00 , 0.00 , 0.00 , 0.00 , GHRC2
320  , 00/08/09 09:40:54, 0.00 , 0.00 , 0.00 , 0.00 , SCXC2
330  , 00/08/09 08:02:11, 0.00 , 0.00 , 0.00 , 0.00 , VBCC2
400  , 00/08/09 08:34:06, 0.00 , 0.00 , 0.00 , 0.00 , MOVC2
410  , 00/08/09 08:38:06, 0.00 , 0.00 , 0.00 , 0.00 , KELC2
420  , 99/11/08 20:56:14, -999 , -999 , -999 , -999 , EXPC2
430  , 00/08/09 14:13:48, 0.00 , 0.08 , 0.08 , 0.08 , UTAC2
440  , 00/08/09 11:25:40, 0.00 , 0.00 , 0.00 , 0.00 , ILIC2
500  , 00/08/09 13:03:33, 0.00 , 0.00 , 0.00 , 0.04 , HAVC2
510  , 00/08/09 13:36:20, 0.00 , 0.00 , 0.00 , 0.00 , VICC2
520  , 00/08/09 12:02:36, 0.00 , 0.00 , 0.00 , 0.00 , JEWC2
530  , 00/08/09 13:06:50, 0.00 , 0.00 , 0.00 , 0.00 , IVYC2
540  , 00/08/08 09:14:09, -999 , -999 , 0.00 , 0.00 , PAMC2
600  , 00/08/07 19:57:14, -999 , -999 , -999 , 0.00 , HGPC2
610  , 00/08/09 09:15:24, 0.00 , 0.00 , 0.00 , 0.08 , HAJC2
620  , 00/08/09 11:38:07, 0.00 , 0.00 , 0.00 , 0.00 , QUHC2
630  , 00/08/09 04:40:36, 0.00 , 0.00 , 0.00 , 0.04 , TEMC2
640  , 00/08/09 10:28:31, 0.00 , 0.00 , 0.00 , 0.00 , GAEC2
700  , 00/08/09 04:40:42, 0.00 , 0.00 , 0.00 , 0.00 , TGSC2
710  , 00/08/09 10:16:09, 0.00 , 0.00 , 0.00 , 0.00 , HPDC2
720  , 00/08/09 07:30:15, 0.00 , 0.00 , 0.00 , 0.00 , CNPC2
730  , 00/08/09 11:15:21, 0.00 , 0.00 , 0.00 , 0.08 , NNCC2
740  , 00/08/09 11:39:04, 0.00 , 0.00 , 0.00 , 0.00 , SMGC2
750  , 00/08/09 06:28:23, 0.00 , 0.00 , 0.00 , 0.00 , QURC2
760  , 00/06/12 10:54:04, -999 , -999 , -999 , -999 , MVJC2
800  , 00/08/09 12:04:29, 0.00 , 0.00 , 0.00 , 0.08 , SADC2
810  , 00/08/09 10:46:39, 0.00 , 0.00 , 0.00 , 0.00 , GDIC2
820  , 00/08/09 03:48:33, 0.00 , 0.00 , 0.00 , 0.00 , ETGC2
830  , 00/08/09 10:42:45, 0.00 , 0.00 , 0.04 , 0.08 , SIPC2
1000 , 00/08/09 11:00:05, 0.00 , 0.00 , 0.00 , 0.00 , MGVC2
1010 , 00/08/09 02:45:29, 0.00 , 0.00 , 0.00 , 0.00 , DVWC2
1030 , 00/08/09 03:10:03, 0.00 , 0.00 , 0.00 , 0.00 , SERC2
1040 , 00/08/09 02:59:59, 0.00 , 0.00 , 0.00 , 0.00 , HIWC2
1050 , 00/08/09 14:01:26, 0.00 , 0.00 , 0.00 , 0.00 , FAGC2
1060 , 00/08/09 13:59:11, 0.00 , 0.00 , 0.00 , 0.00 , APEC2
1100 , 00/08/09 08:04:24, 0.00 , 0.00 , 0.00 , 0.00 , LDDC2
1110 , 00/08/09 14:27:09, 0.00 , 0.00 , 0.00 , 0.08 , GBLC2
1200 , 00/08/09 07:36:16, 0.00 , 0.00 , 0.00 , 0.00 , BRFC2
1400 , 00/08/09 08:28:17, 0.00 , 0.00 , 0.00 , 0.00 , USDC2
1420 , 00/08/09 04:09:54, 0.00 , 0.00 , 0.00 , 0.00 , DHPC2
1440 , 00/08/09 06:06:09, 0.00 , 0.00 , 0.00 , 0.00 , EBBC2
1600 , 00/08/09 11:06:00, 0.00 , 0.00 , 0.00 , 0.16 , ENGC2
1620 , 00/08/09 05:07:24, 0.00 , 0.00 , 0.00 , 0.08 , SHGC2
1640 , 00/08/09 08:54:29, 0.00 , 0.00 , 0.00 , 0.00 , ENWC2
